開放閩南語字典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［閩南語拼音］	［閩南語拼音 (數字調號)］

丫	丫	a	a
壓	压	a	a
啞	哑	a	a
亞	亚	a	a
椏	桠	a	a
抑	抑	a	a
洼	洼	a	a
阿	阿	a	a
鴉	鸦	a	a
仔	仔	á	a2
百	百	á	a2
也	也	á	a2
阿	阿	á	a2
掗	挜	à	a3
婭	娅	à	a3
啞	哑	à	a3
亦	亦	à	a3
亞	亚	à	a3
限	限	ā	a7
諾	诺	ā	a7
押	押	ah	ah
抑	抑	ah	ah
益	益	ah	ah
鴨	鸭	ah	ah
唉	唉	ah	ah
匣	匣	a̍h	ah8
盒	盒	a̍h	ah8
毐	毐	ai	ai
唉	唉	ai	ai
靉	靉	ai	ai
哀	哀	ai	ai
埃	埃	ai	ai
挨	挨	ai	ai
靄	霭	ái	ai2
矮	矮	ái	ai2
毐	毐	ái	ai2
餲	餲	ái	ai2
壒	壒	ái	ai2
藹	蔼	ái	ai2
愛	爱	ài	ai3
噯	嗳	ài	ai3
阨	阨	ài	ai3
薆	薆	ài	ai3
呃	呃	ài	ai3
曖	暧	ài	ai3
隘	隘	ài	ai3
僾	僾	ài	ai3
噯	嗳	âi	ai5
唷	唷	aiⁿh	ainnh4
嗌	嗌	ak	ak
喔	喔	ak	ak
屋	屋	ak	ak
沃	沃	ak	ak
握	握	ak	ak
鋈	鋈	ak	ak
齷	龌	ak	ak
幄	幄	ak	ak
鷽	鸴	ak	ak
渥	渥	ak	ak
偓	偓	ak	ak
盦	盦	am	am
鵪	鹌	am	am
堷	堷	am	am
唵	唵	am	am
痷	痷	am	am
諳	谙	am	am
庵	庵	am	am
闇	闇	am	am
腤	腤	am	am
腌	腌	am	am
菴	菴	am	am
泔	泔	ám	am2
晻	晻	ám	am2
菡	菡	ám	am2
淊	淊	ám	am2
黯	黯	ám	am2
暗	暗	àm	am3
闇	闇	àm	am3
頷	颔	ām	am7
蝦	虾	ām	am7
艷	艳	ām	am7
垵	埯	an	an
按	按	an	an
安	安	an	an
鞍	鞍	an	an
侒	侒	an	an
阿	阿	án	an2
宴	宴	àn	an3
鷃	鷃	àn	an3
晏	晏	àn	an3
按	按	àn	an3
緊	紧	àn	an3
安	安	àn	an3
案	案	àn	an3
鴳	鴳	àn	an3
公	公	ang	ang
翁	翁	ang	ang
汪	汪	ang	ang
齆	齆	àng	ang3
甕	甕	àng	ang3
塕	塕	àng	ang3
紅	红	âng	ang5
洪	洪	âng	ang5
攬	揽	áⁿ	ann2
倚	倚	áⁿ	ann2
仔	仔	áⁿ	ann2
向	向	àⁿ	ann3
攔	拦	âⁿ	ann5
餡	馅	āⁿ	ann7
盦	盦	ap	ap
姶	姶	ap	ap
哈	哈	ap	ap
鴨	鸭	ap	ap
閘	闸	ap	ap
唈	唈	ap	ap
壓	压	ap	ap
押	押	ap	ap
霅	霅	ap	ap
齾	齾	ap	ap
廅	廅	ap	ap
匎	匎	ap	ap
匣	匣	a̍p	ap8
呷	呷	a̍p	ap8
合	合	a̍p	ap8
狎	狎	a̍p	ap8
盒	盒	a̍p	ap8
盍	盍	a̍p	ap8
柙	柙	a̍p	ap8
嗑	嗑	a̍p	ap8
圠	圠	at	at
遏	遏	at	at
胺	胺	at	at
頞	頞	at	at
曷	曷	at	at
毼	毼	at	at
堨	堨	at	at
揠	揠	at	at
輵	輵	at	at
軋	轧	at	at
閼	阏	at	at
甌	瓯	au	au
坳	坳	au	au
謳	讴	au	au
凹	凹	au	au
熰	熰	au	au
慪	怄	au	au
漚	沤	au	au
歐	欧	au	au
拗	拗	áu	au2
眑	眑	áu	au2
靿	靿	áu	au2
袎	袎	áu	au2
敺	敺	áu	au2
嘔	呕	áu	au2
坳	坳	áu	au2
詏	詏	áu	au2
毆	殴	áu	au2
媼	媪	áu	au2
臭	臭	àu	au3
懊	懊	àu	au3
拗	拗	àu	au3
喉	喉	âu	au5
呼	呼	âu	au5
後	后	āu	au7
痲	痲	bâ	ba
貓	猫	bâ	ba
麻	麻	bâ	ba
錨	锚	bâ	ba
媌	媌	bâ	ba
蝥	蝥	bâ	ba
碼	码	bā	ba2
鴞	鸮	bā	ba2
痲	痲	bā	ba2
密	密	bā	ba2
覓	觅	bā	ba2
峇	峇	bā	ba2
屄	屄	bai	bai
惡	恶	bái	bai2
楣	楣	bâi	bai5
埋	埋	bâi	bai5
薶	薶	bâi	bai5
眉	眉	bâi	bai5
霾	霾	bâi	bai5
覓	觅	bāi	bai7
屘	屘	ban	ban
挽	挽	bán	ban2
滿	满	bán	ban2
饅	馒	bân	ban3
曼	曼	bân	ban3
頑	顽	bân	ban3
鰻	鳗	bân	ban3
鬘	鬘	bân	ban3
閩	闽	bân	ban3
蠻	蛮	bân	ban3
曼	曼	bān	ban7
僈	僈	bān	ban7
瓣	瓣	bān	ban7
謾	谩	bān	ban7
緩	缓	bān	ban7
槾	槾	bān	ban7
縵	缦	bān	ban7
漫	漫	bān	ban7
鄤	鄤	bān	ban7
蔓	蔓	bān	ban7
萬	万	bān	ban7
墁	墁	bān	ban7
命	命	bān	ban7
幔	幔	bān	ban7
慢	慢	bān	ban7
嫚	嫚	bān	ban7
万	万	bān	ban7
濛	蒙	bang	bang
網	网	báng	bang2
罔	罔	báng	bang2
蚊	蚊	báng	bang2
忙	忙	bâng	bang5
庬	庬	bâng	bang5
尨	尨	bâng	bang5
哤	哤	bâng	bang5
牻	牻	bâng	bang5
矇	蒙	bâng	bang5
駹	駹	bâng	bang5
茫	茫	bâng	bang5
芒	芒	bâng	bang5
厖	厖	bâng	bang5
望	望	bāng	bang7
夢	梦	bāng	bang7
網	网	bāng	bang7
包	包	bau	bau
昴	昴	báu	bau2
卯	卯	báu	bau2
泖	泖	báu	bau2
矛	矛	bâu	bau5
咪	咪	be	be
迷	迷	bé	be2
碼	码	bé	be2
馬	马	bé	be2
瑪	玛	bé	be2
尾	尾	bé	be2
泥	泥	bê	be5
麛	麛	bê	be5
糜	糜	bê	be5
迷	迷	bê	be5
霉	霉	bê	be5
未	未	bē	be7
謎	谜	bē	be7
妹	妹	bē	be7
名	名	beng	beng
猛	猛	béng	beng2
艋	艋	béng	beng2
孟	孟	béng	beng2
皿	皿	béng	beng2
蜢	蜢	béng	beng2
慏	慏	béng	beng2
酩	酩	béng	beng2
茗	茗	béng	beng2
蓂	蓂	bêng	beng5
明	明	bêng	beng5
覭	覭	bêng	beng5
儚	儚	bêng	beng5
杗	杗	bêng	beng5
洺	洺	bêng	beng5
甍	甍	bêng	beng5
溟	溟	bêng	beng5
鳴	鸣	bêng	beng5
幎	幎	bêng	beng5
萌	萌	bêng	beng5
銘	铭	bêng	beng5
暝	暝	bêng	beng5
盲	盲	bêng	beng5
甿	甿	bêng	beng5
冥	冥	bêng	beng5
螟	螟	bêng	beng5
盟	盟	bêng	beng5
嫇	嫇	bêng	beng5
瞑	瞑	bêng	beng5
命	命	bēng	beng7
孟	孟	bēng	beng7
瞢	瞢	bēng	beng7
蜢	蜢	bēng	beng7
扒	扒	bi	bi
咪	咪	bi	bi
迷	迷	bi	bi
詺	詺	bi	bi
微	微	bi	bi
亹	亹	bí	bi2
羋	芈	bí	bi2
媺	媺	bí	bi2
尾	尾	bí	bi2
瀰	弥	bí	bi2
米	米	bí	bi2
娓	娓	bí	bi2
禰	祢	bí	bi2
靡	靡	bí	bi2
咩	咩	bí	bi2
渼	渼	bí	bi2
敉	敉	bí	bi2
瘰	瘰	bí	bi2
眯	眯	bí	bi2
美	美	bí	bi2
彌	弥	bí	bi2
弭	弭	bí	bi2
楣	楣	bî	bi5
薇	薇	bî	bi5
瀰	弥	bî	bi5
劘	劘	bî	bi5
蘪	蘪	bî	bi5
嵋	嵋	bî	bi5
微	微	bî	bi5
郿	郿	bî	bi5
眯	眯	bî	bi5
獼	猕	bî	bi5
眉	眉	bî	bi5
縻	縻	bî	bi5
糜	糜	bî	bi5
堳	堳	bî	bi5
黴	霉	bî	bi5
湄	湄	bî	bi5
寐	寐	bî	bi5
麋	麋	bî	bi5
冞	冞	bî	bi5
彌	弥	bî	bi5
醾	醾	bî	bi5
蘼	蘼	bî	bi5
溦	溦	bî	bi5
未	未	bī	bi7
味	味	bī	bi7
嚜	嚜	bī	bi7
菋	菋	bī	bi7
泳	泳	bī	bi7
謎	谜	bī	bi7
媚	媚	bī	bi7
寐	寐	bī	bi7
絻	絻	bián	bian2
鈣	钙	bián	bian2
沔	沔	bián	bian2
俛	俛	bián	bian2
免	免	bián	bian2
娩	娩	bián	bian2
勉	勉	bián	bian2
湎	湎	bián	bian2
丏	丏	bián	bian2
鮸	鮸	bián	bian2
愐	愐	bián	bian2
眄	眄	bián	bian2
愍	愍	bián	bian2
冕	冕	bián	bian2
緬	缅	bián	bian2
浼	浼	bián	bian2
緡	缗	biân	bian5
瞑	瞑	biân	bian5
棉	棉	biân	bian5
聯	联	biân	bian5
蝒	蝒	biân	bian5
窅	窅	biân	bian5
綿	绵	biân	bian5
眠	眠	biân	bian5
櫋	櫋	biân	bian5
麵	面	biān	bian7
湎	湎	biān	bian7
愐	愐	biān	bian7
眄	眄	biān	bian7
偭	偭	biān	bian7
緬	缅	biān	bian7
面	面	biān	bian7
秒	秒	biáu	biau2
緲	缈	biáu	biau2
邈	邈	biáu	biau2
窔	窔	biáu	biau2
窅	窅	biáu	biau2
淼	淼	biáu	biau2
藐	藐	biáu	biau2
龘	龘	biáu	biau2
杪	杪	biáu	biau2
渺	渺	biáu	biau2
皛	皛	biáu	biau2
杳	杳	biáu	biau2
眇	眇	biáu	biau2
描	描	biâu	biau5
薸	薸	biâu	biau5
媌	媌	biâu	biau5
苗	苗	biâu	biau5
貓	猫	biâu	biau5
錨	锚	biâu	biau5
廟	庙	biāu	biau7
玅	玅	biāu	biau7
妙	妙	biāu	biau7
潣	潣	bín	bin2
緡	缗	bín	bin2
泯	泯	bín	bin2
湎	湎	bín	bin2
敏	敏	bín	bin2
刡	刡	bín	bin2
笢	笢	bín	bin2
抿	抿	bín	bin2
閔	闵	bín	bin2
僶	僶	bín	bin2
敃	敃	bín	bin2
麵	面	bín	bin2
澠	渑	bín	bin2
黽	黾	bín	bin2
湣	湣	bín	bin2
憫	悯	bín	bin2
愍	愍	bín	bin2
苠	苠	bîn	bin5
敃	敃	bîn	bin5
緡	缗	bîn	bin5
氓	氓	bîn	bin5
暋	暋	bîn	bin5
饅	馒	bîn	bin5
旻	旻	bîn	bin5
痻	痻	bîn	bin5
平	平	bîn	bin5
玟	玟	bîn	bin5
湣	湣	bîn	bin5
罠	罠	bîn	bin5
民	民	bîn	bin5
岷	岷	bîn	bin5
眠	眠	bîn	bin5
忞	忞	bîn	bin5
明	明	bîn	bin5
饅	馒	bīn	bin7
面	面	bīn	bin7
蝒	蝒	bīn	bin7
描	描	bîo	bio5
摹	摹	bîo	bio5
廟	庙	bīo	bio7
謬	谬	bīu	biu7
繆	缪	bīu	biu7
嬤	嬷	bó	bo2
無	无	bô	bo5
磨	磨	bō	bo7
帽	帽	bō	bo7
磨	磨	bôa	boa5
勞	劳	bôa	boa5
僗	僗	bôa	boa5
娩	娩	bóan	boan2
挽	挽	bóan	boan2
晚	晚	bóan	boan2
捲	捲	bóan	boan2
懣	懑	bóan	boan2
鞔	鞔	bóan	boan2
鏝	镘	bóan	boan2
滿	满	bóan	boan2
輓	挽	bóan	boan2
悗	悗	bôan	boan5
顢	颟	bôan	boan5
瞞	瞒	bôan	boan5
璊	璊	bôan	boan5
鞔	鞔	bôan	boan5
慲	慲	bôan	boan5
蹣	蹒	bôan	boan5
凡	凡	bōan	boan7
媒	媒	bóe	boe2
買	买	bóe	boe2
煤	煤	bôe	boe5
囮	囮	bôe	boe5
糜	糜	bôe	boe5
梅	梅	bôe	boe5
秣	秣	bōe	boe7
不	不	bōe	boe7
賣	卖	bōe	boe7
汒	汒	bón	bon2
摸	摸	bong	bong
輞	辋	bóng	bong2
网	网	bóng	bong2
惘	惘	bóng	bong2
蠓	蠓	bóng	bong2
鉧	鉧	bóng	bong2
孟	孟	bóng	bong2
漭	漭	bóng	bong2
罔	罔	bóng	bong2
網	网	bóng	bong2
