開放漢語字典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［漢語拼音］

錒	锕	a1
阿	阿	a1
吖	吖	a1
啊	啊	a1
啊	啊	a2
啊	啊	a3
啊	啊	a4
哀	哀	ai1
埃	埃	ai1
挨	挨	ai1
哎	哎	ai1
唉	唉	ai1
捱	挨	ai2
癌	癌	ai2
矮	矮	ai3
藹	蔼	ai3
毐	毐	ai3
璦	瑷	ai4
靉	叆	ai4
隘	隘	ai4
愛	爱	ai4
唉	唉	ai4
曖	暧	ai4
艾	艾	ai4
砹	砹	ai4
礙	碍	ai4
諳	谙	an1
庵	庵	an1
鵪	鹌	an1
鞍	鞍	an1
安	安	an1
桉	桉	an1
氨	氨	an1
俺	俺	an3
銨	铵	an3
胺	胺	an4
按	按	an4
岸	岸	an4
黯	黯	an4
犴	犴	an4
暗	暗	an4
案	案	an4
骯	肮	ang1
昂	昂	ang2
盎	盎	ang4
凹	凹	ao1
鰲	鳌	ao2
敖	敖	ao2
翱	翱	ao2
螯	螯	ao2
遨	遨	ao2
熬	熬	ao2
獒	獒	ao2
襖	袄	ao3
媼	媪	ao3
坳	坳	ao4
奧	奥	ao4
拗	拗	ao4
澳	澳	ao4
傲	傲	ao4
懊	懊	ao4
驁	骜	ao4
八	八	ba1
巴	巴	ba1
笆	笆	ba1
芭	芭	ba1
疤	疤	ba1
叭	叭	ba1
捌	捌	ba1
粑	粑	ba1
扒	扒	ba1
拔	拔	ba2
跋	跋	ba2
茇	茇	ba2
菝	菝	ba2
靶	靶	ba3
把	把	ba3
鈀	钯	ba3
爸	爸	ba4
霸	霸	ba4
罷	罢	ba4
壩	坝	ba4
耙	耙	ba4
灞	灞	ba4
巴	巴	ba5
吧	吧	ba5
掰	掰	bai1
白	白	bai2
擺	摆	bai3
百	百	bai3
柏	柏	bai3
襬	摆	bai3
佰	佰	bai3
捭	捭	bai3
伯	伯	bai3
敗	败	bai4
稗	稗	bai4
拜	拜	bai4
般	般	ban1
扳	扳	ban1
班	班	ban1
斑	斑	ban1
瘢	瘢	ban1
頒	颁	ban1
搬	搬	ban1
板	板	ban3
舨	舨	ban3
版	版	ban3
闆	板	ban3
坂	坂	ban3
半	半	ban4
伴	伴	ban4
絆	绊	ban4
瓣	瓣	ban4
拌	拌	ban4
扮	扮	ban4
辦	办	ban4
湴	湴	ban4
梆	梆	bang1
邦	邦	bang1
幫	帮	bang1
浜	浜	bang1
綁	绑	bang3
膀	膀	bang3
榜	榜	bang3
傍	傍	bang4
磅	磅	bang4
蚌	蚌	bang4
謗	谤	bang4
蒡	蒡	bang4
鎊	镑	bang4
棒	棒	bang4
孢	孢	bao1
胞	胞	bao1
包	包	bao1
剝	剥	bao1
褒	褒	bao1
齙	龅	bao1
苞	苞	bao1
雹	雹	bao2
薄	薄	bao2
葆	葆	bao3
飽	饱	bao3
堡	堡	bao3
寶	宝	bao3
鴇	鸨	bao3
保	保	bao3
鮑	鲍	bao4
報	报	bao4
爆	爆	bao4
抱	抱	bao4
豹	豹	bao4
暴	暴	bao4
刨	刨	bao4
趵	趵	bao4
碑	碑	bei1
揹	背	bei1
杯	杯	bei1
卑	卑	bei1
悲	悲	bei1
北	北	bei3
憊	惫	bei4
貝	贝	bei4
狽	狈	bei4
蓓	蓓	bei4
悖	悖	bei4
焙	焙	bei4
備	备	bei4
背	背	bei4
鋇	钡	bei4
倍	倍	bei4
被	被	bei4
輩	辈	bei4
糒	糒	bei4
唄	呗	bei5
臂	臂	bei5
奔	奔	ben1
賁	贲	ben1
本	本	ben3
畚	畚	ben3
苯	苯	ben3
笨	笨	ben4
繃	绷	beng1
崩	崩	beng1
甭	甭	beng2
繃	绷	beng3
泵	泵	beng4
鏰	镚	beng4
